trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate
0,0,0,0,10,44.6653551,44.6653551,0.0693014,0.175,-0.080555556,1,0,0,target,1,1,2024-10-04_11h42.43.053,Visual Search Experiment,2023.1.3,60.01846168
1,0,1,0,5,46.909046,46.909046,0.019099,-0.013888889,0.1,1,0,0,target,1,1,2024-10-04_11h42.43.053,Visual Search Experiment,2023.1.3,60.01846168
2,0,2,0,5,48.5613436,48.5613436,0.0205644,-0.214814815,-0.164814815,1,0,0,target,1,1,2024-10-04_11h42.43.053,Visual Search Experiment,2023.1.3,60.01846168
3,0,3,0,5,51.9530549,51.9530549,0.0249079,-0.47037037,-0.214814815,1,0,0,target,1,1,2024-10-04_11h42.43.053,Visual Search Experiment,2023.1.3,60.01846168
4,0,4,0,10,55.3102742,55.3102742,0.0327524,0.034259259,0.332407407,1,0,0,target,1,1,2024-10-04_11h42.43.053,Visual Search Experiment,2023.1.3,60.01846168
5,0,5,0,10,57.3771448,57.3771448,0.0320497,0.140740741,0.419444444,1,0,0,target,1,1,2024-10-04_11h42.43.053,Visual Search Experiment,2023.1.3,60.01846168
6,0,6,0,10,59.2070059,59.2070059,0.0334841,-0.311111111,-0.34537037,1,0,0,target,1,1,2024-10-04_11h42.43.053,Visual Search Experiment,2023.1.3,60.01846168
7,0,7,0,10,62.2802757,62.2802757,0.0369565,-0.164814815,-0.406481481,1,0,0,target,1,1,2024-10-04_11h42.43.053,Visual Search Experiment,2023.1.3,60.01846168
8,0,8,0,5,64.6821798,64.6821798,0.1563849,0.062037037,0.275,1,0,0,target,1,1,2024-10-04_11h42.43.053,Visual Search Experiment,2023.1.3,60.01846168
9,0,9,0,10,67.0391385,67.0391385,0.0450187,-0.115740741,-0.057407407,1,0,0,target,1,1,2024-10-04_11h42.43.053,Visual Search Experiment,2023.1.3,60.01846168
10,0,10,0,5,68.8733317,68.8733317,0.0201768,0.437962963,-0.277777778,1,0,0,target,1,1,2024-10-04_11h42.43.053,Visual Search Experiment,2023.1.3,60.01846168
11,0,11,0,5,71.1343906,71.1343906,0.0166142,0.50462963,-0.442592593,1,0,0,target,1,1,2024-10-04_11h42.43.053,Visual Search Experiment,2023.1.3,60.01846168
12,0,12,0,10,73.3142902,73.3142902,0.0429979,-0.460185185,-0.462962963,1,0,0,target,1,1,2024-10-04_11h42.43.053,Visual Search Experiment,2023.1.3,60.01846168
13,0,13,0,5,75.9173552,75.9173552,0.016098,0.219444444,-0.27037037,1,0,0,target,1,1,2024-10-04_11h42.43.053,Visual Search Experiment,2023.1.3,60.01846168
