trials.thisTrialN,trials.stepSize,trials.intensity,fixation.started,grating.started,key_resp.started,fixation.stopped,corrAns,tilt,key_resp.corr,trials.response,key_resp.rt,grating.stopped,participant,session,date,expName,psychopyVersion,frameRate
0,2,10,12.5453915,13.1012069,13.1012069,13.1192077,right,10,1,1,35241.27672,,662062,1,2024-09-11_22h16.48.064,experiment 2 final Adaptive Staircase,2023.1.3,60.13442449
1,2,8,13.3341509,13.8189649,13.8189649,13.8361542,right,8,1,1,35241.48066,14.1211069,662062,1,2024-09-11_22h16.48.064,experiment 2 final Adaptive Staircase,2023.1.3,60.13442449
2,2,6,14.2195118,14.7202509,14.7202509,14.7202509,right,6,1,1,35241.61805,15.0368076,662062,1,2024-09-11_22h16.48.064,experiment 2 final Adaptive Staircase,2023.1.3,60.13442449
3,2,4,15.2507386,15.752497,15.752497,15.752497,right,4,1,1,35241.56446,16.0519911,662062,1,2024-09-11_22h16.48.064,experiment 2 final Adaptive Staircase,2023.1.3,60.13442449
4,2,2,16.2352239,16.7349008,16.7349008,16.7349008,right,2,1,1,35243.69762,17.0354108,662062,1,2024-09-11_22h16.48.064,experiment 2 final Adaptive Staircase,2023.1.3,60.13442449
5,1,1,19.3500502,19.8496056,19.8496056,19.8496056,right,1,0,0,35241.12071,,662062,1,2024-09-11_22h16.48.064,experiment 2 final Adaptive Staircase,2023.1.3,60.13442449
6,1,2,19.883295,20.3873496,20.3873496,20.3873496,left,-2,1,1,35241.63055,20.6998598,662062,1,2024-09-11_22h16.48.064,experiment 2 final Adaptive Staircase,2023.1.3,60.13442449
7,1,2,20.9340036,21.4354576,21.4354576,21.4497565,left,-2,1,1,35241.99672,21.7499966,662062,1,2024-09-11_22h16.48.064,experiment 2 final Adaptive Staircase,2023.1.3,60.13442449
8,1,2,22.3493625,22.8489695,22.8489695,22.8489695,left,-2,1,1,35247.35599,23.1485204,662062,1,2024-09-11_22h16.48.064,experiment 2 final Adaptive Staircase,2023.1.3,60.13442449
9,0.5,1,29.129886,29.6302899,29.6302899,29.6302899,right,1,0,0,35244.53216,29.929803,662062,1,2024-09-11_22h16.48.064,experiment 2 final Adaptive Staircase,2023.1.3,60.13442449
10,0.5,1.5,33.0785745,33.5794045,33.5794045,33.5794045,left,-1.5,1,1,35243.85606,33.8947979,662062,1,2024-09-11_22h16.48.064,experiment 2 final Adaptive Staircase,2023.1.3,60.13442449
11,0.5,1.5,36.3606092,36.8616894,36.8616894,36.8616894,right,1.5,0,0,35241.81199,37.1612479,662062,1,2024-09-11_22h16.48.064,experiment 2 final Adaptive Staircase,2023.1.3,60.13442449
12,0.5,2,37.5935902,38.0942858,38.0942858,38.0942858,right,2,0,0,35241.5832,38.3938781,662062,1,2024-09-11_22h16.48.064,experiment 2 final Adaptive Staircase,2023.1.3,60.13442449
