key_resp.corr,key_resp.rt,,,SEQ ,RAND
0,2.1718938,,,2.1718938,2.0807571
0,0.152647,,,0.152647,1.9392597
0,0.2805518,,,0.2805518,0.1878071
0,0.4457556,,,0.4457556,0.2321158
0,0.5453025,,,0.5453025,0.1557605
1,0.5800654,,,0.5800654,0.2996183
1,0.2696494,,,0.2696494,1.5264967
0,0.3562369,,,0.3562369,0.1167337
0,0.4988718,,,0.4988718,0.841006
0,0.5584492,,,0.5584492,2.5351274
0,0.7766369,,,0.7766369,0.7765095
0,0.3831104,,,0.3831104,0.0967421
0,0.28738,,,0.28738,2.9050703
1,0.6133641,,,0.6133641,0.5993568
0,0.1093451,,,0.1093451,0.6459625
0,0.4966255,,,0.4966255,0.6408456
0,0.4561224,,,0.4561224,0.397208
1,0.4150248,,,0.4150248,0.5122073
0,0.2002197,,,0.2002197,0.3200892
0,1.0531695,,,1.0531695,0.1137862
0,1.2743429,,,1.2743429,0.1522827
1,0.1238472,,,0.1238472,0.1687306
0,1.2879015,,,1.2879015,0.5864248
0,1.4831001,,,1.4831001,0.0624147
0,6.0749243,,,6.0749243,0.6867343
1,2.0793073,,,2.0793073,0.1531885
0,1.7934735,,,1.7934735,0.2713481
0,0.9529335,,,0.9529335,0.4921256
0,1.8023302,,,1.8023302,0.5210281
1,2.6639368,,,2.6639368,0.6633502
0,0.729159,,,0.729159,1.6647996
0,1.1080041,,,1.1080041,1.7588832
0,3.9651045,,,3.9651045,0.0641689
1,2.6333643,,,2.6333643,0.5770798
0,1.3485342,,,1.3485342,0.347836
0,5.2569121,,,5.2569121,0.0452237
0,3.6573944,,,3.6573944,0.1881232
1,1.9958985,,,1.9958985,0.5625164
0,2.3832433,,,2.3832433,0.4757335
0,4.2933972,,,4.2933972,0.0888404
0,0.5132303,,,0.5132303,0.472755
1,2.6500238,,,2.6500238,0.3130604
0,0.3667533,,,0.3667533,1.566625
0,3.7953021,,,3.7953021,1.3327892
0,0.2059645,,,0.2059645,0.2312202
1,0.071308,,,0.071308,0.4169557
0,3.9440107,,,3.9440107,0.1678073
0,5.6145467,,,5.6145467,1.2629592
0,0.1477166,,,0.1477166,0.2788076
1,0.6751184,,,0.6751184,0.7955053
0,2.8921759,,,2.8921759,0.350931
0,9.6749814,,,9.6749814,0.0081099
0,1.5043951,,,1.5043951,0.198095
1,0.8646806,,,0.8646806,2.9325693
0,1.1850959,,,1.1850959,0.1861467
0,0.0938057,,,0.0938057,1.6164275
0,0.8651771,,,0.8651771,0.2521446
1,3.0493592,,,3.0493592,0.1211941
0,2.3133958,,,2.3133958,0.7547157
0,1.4969033,,,1.4969033,0.0463048
0,0.2117057,,,0.2117057,0.6860889
1,4.2655774,,,4.2655774,0.3554189
0,2.5804168,,,2.5804168,0.8959867
0,5.8495845,,,5.8495845,0.2974716
0,1.2482516,,,1.2482516,0.2551919
1,1.8095541,,,1.8095541,0.2017174
0,4.3064487,,,4.3064487,0.1929649
0,1.1136435,,,1.1136435,0.2412373
0,0.6332314,,,0.6332314,3.3231541
1,10.1182063,,,10.1182063,0.2980692
1,0.5125402,,,0.5125402,1.7527251
0,0.7931032,,,0.7931032,2.7292828
0,0.2579235,,,0.2579235,0.1807085
1,0.8969947,,,0.8969947,5.0177539
1,0.3682984,,,0.3682984,0.9020962
0,0.6005372,,,0.6005372,2.333186
0,0.6623504,,,0.6623504,0.2325042
0,0.6767381,,,0.6767381,0.3720766
1,6.9358053,,,6.9358053,0.1017867
0,1.3425136,,,1.3425136,0.1275755
0,0.7398336,,,0.7398336,0.5532047
0,2.2666363,,,2.2666363,0.1641358
0,0.545403,,,0.545403,0.4682683
0,0.1695803,,,0.1695803,0.2731584
0,0.0451671,,,0.0451671,0.2115785
1,0.5544241,,,0.5544241,0.4693438
1,0.2730594,,,0.2730594,1.7797334
0,1.0809054,,,1.0809054,1.7101161
0,0.6288975,,,0.6288975,0.1928293
0,0.225286,,,0.225286,0.6076118
0,0.1286341,,,0.1286341,0.3849032
0,5.2150332,,,5.2150332,0.5387481
0,0.8822677,,,0.8822677,0.3219403
0,0.0423132,,,0.0423132,0.0606612
1,2.200782,,,2.200782,4.2092299
0,0.1167321,,,0.1167321,0.1957117
0,0.0245662,,,0.0245662,0.1000153
1,2.5131194,,,2.5131194,1.2107763
0,1.1938846,,,1.1938846,0.1468318
